,screenx,screeny,ms,seconds,xpos,ypos
0,-0.0,-0.0,295.5236111111111,0.2955236111111111,-0.0,-0.0
1,12.0,5.0,299.68888888888887,0.2996888888888889,0.019523809523809523,0.008134920634920636
2,21.0,6.0,303.8569444444445,0.3038569444444445,0.034166666666666665,0.009761904761904762
3,32.0,7.0,308.0236111111111,0.3080236111111111,0.05206349206349206,0.01138888888888889
4,42.0,8.0,312.1722222222222,0.31217222222222224,0.06833333333333333,0.013015873015873015
5,53.0,8.0,316.33888888888885,0.31633888888888884,0.08623015873015873,0.013015873015873015
6,64.0,8.0,320.5055555555556,0.3205055555555556,0.10412698412698412,0.013015873015873015
7,74.0,8.0,324.6722222222222,0.3246722222222222,0.1203968253968254,0.013015873015873015
8,85.0,9.0,328.83888888888885,0.32883888888888885,0.1382936507936508,0.014642857142857143
9,96.0,9.0,333.0055555555556,0.3330055555555556,0.15619047619047619,0.014642857142857143
10,106.0,9.0,337.1722222222222,0.3371722222222222,0.17246031746031745,0.014642857142857143
11,117.0,9.0,341.3388888888889,0.3413388888888889,0.19035714285714286,0.014642857142857143
12,128.0,9.0,345.47916666666663,0.3454791666666666,0.20825396825396825,0.014642857142857143
13,139.0,9.0,349.64583333333337,0.3496458333333334,0.22615079365079366,0.014642857142857143
14,149.0,9.0,353.8125,0.3538125,0.24242063492063493,0.014642857142857143
15,159.0,8.0,357.97916666666663,0.3579791666666666,0.2586904761904762,0.013015873015873015
16,170.0,8.0,362.14583333333337,0.3621458333333334,0.2765873015873016,0.013015873015873015
17,180.0,7.0,366.3125,0.3663125,0.29285714285714287,0.01138888888888889
18,191.0,6.0,370.4791666666667,0.3704791666666667,0.3107539682539683,0.009761904761904762
19,201.0,6.0,374.6458333333333,0.3746458333333333,0.32702380952380955,0.009761904761904762
20,212.0,5.0,378.81805555555553,0.37881805555555553,0.3449206349206349,0.008134920634920636
21,222.0,4.0,382.9861111111111,0.3829861111111111,0.3611904761904762,0.006507936507936508
22,233.0,2.0,387.15277777777777,0.3871527777777778,0.3790873015873016,0.003253968253968254
23,242.0,1.0,391.3180555555556,0.3913180555555556,0.3937301587301587,0.001626984126984127
24,252.0,1.0,395.48611111111114,0.39548611111111115,0.41000000000000003,0.001626984126984127
25,262.0,-0.0,399.65277777777777,0.39965277777777775,0.4262698412698413,-0.0
26,274.0,-3.0,403.8180555555556,0.4038180555555556,0.4457936507936508,-0.004880952380952381
27,293.0,-7.0,412.27500000000003,0.41227500000000006,0.4767063492063492,-0.01138888888888889
28,303.0,-9.0,416.44166666666666,0.41644166666666665,0.49297619047619046,-0.014642857142857143
29,313.0,-11.0,420.60833333333335,0.42060833333333336,0.5092460317460318,-0.017896825396825397
30,323.0,-13.0,424.775,0.42477499999999996,0.525515873015873,-0.021150793650793653
31,333.0,-17.0,428.94166666666666,0.42894166666666667,0.5417857142857143,-0.02765873015873016
32,343.0,-17.0,433.10833333333335,0.4331083333333334,0.5580555555555555,-0.02765873015873016
33,353.0,-21.0,437.275,0.43727499999999997,0.5743253968253968,-0.034166666666666665
34,363.0,-22.0,441.44166666666666,0.4414416666666667,0.5905952380952381,-0.035793650793650794
35,372.0,-25.0,445.52222222222224,0.44552222222222226,0.6052380952380952,-0.040674603174603176
36,382.0,-27.0,449.68888888888887,0.44968888888888886,0.6215079365079366,-0.04392857142857143
37,392.0,-30.0,453.85555555555555,0.45385555555555557,0.6377777777777778,-0.04880952380952381
38,402.0,-33.0,458.02222222222224,0.4580222222222222,0.6540476190476191,-0.05369047619047619
39,411.0,-36.0,462.18888888888887,0.46218888888888887,0.6686904761904762,-0.05857142857142857
40,421.0,-39.0,466.35555555555555,0.4663555555555556,0.6849603174603175,-0.06345238095238095
41,430.0,-41.0,470.52222222222224,0.47052222222222223,0.6996031746031746,-0.06670634920634921
42,440.0,-44.0,474.6888888888889,0.47468888888888894,0.7158730158730159,-0.07158730158730159
43,449.0,-46.0,478.85,0.47885,0.7305158730158731,-0.07484126984126985
44,458.0,-46.0,483.01666666666665,0.48301666666666665,0.7451587301587301,-0.07484126984126985
45,479.0,-58.0,491.35,0.49135,0.7793253968253968,-0.09436507936507936
46,488.0,-61.0,495.5166666666667,0.4955166666666667,0.793968253968254,-0.09924603174603175
47,497.0,-64.0,499.68333333333334,0.4996833333333333,0.8086111111111112,-0.10412698412698412
48,507.0,-67.0,503.84999999999997,0.50385,0.8248809523809524,-0.10900793650793651
49,516.0,-71.0,508.0166666666666,0.5080166666666666,0.8395238095238096,-0.11551587301587302
50,525.0,-75.0,512.1666666666666,0.5121666666666667,0.8541666666666666,-0.12202380952380952
51,534.0,-79.0,516.3319444444445,0.5163319444444445,0.8688095238095238,-0.12853174603174602
52,544.0,-83.0,520.5000000000001,0.5205000000000001,0.8850793650793651,-0.13503968253968254
53,553.0,-86.0,524.6666666666667,0.5246666666666667,0.8997222222222222,-0.13992063492063492
54,562.0,-89.0,528.8319444444445,0.5288319444444445,0.9143650793650794,-0.1448015873015873
55,571.0,-92.0,533.0,0.533,0.9290079365079366,-0.1496825396825397
56,579.0,-98.0,537.1666666666667,0.5371666666666668,0.9420238095238095,-0.15944444444444444
57,601.0,-107.0,545.4611111111112,0.5454611111111112,0.9778174603174603,-0.1740873015873016
58,644.0,-117.0,566.2958333333333,0.5662958333333333,1.0477777777777777,-0.19035714285714286
59,652.0,-117.0,570.4611111111112,0.5704611111111112,1.0607936507936508,-0.19035714285714286
60,661.0,-109.0,574.6277777777779,0.5746277777777778,1.075436507936508,-0.17734126984126986
