,screenx,screeny,ms,seconds,xpos,ypos
0,-0.0,-0.0,279.12083333333334,0.2791208333333333,-0.0,-0.0
1,10.0,-0.0,283.28749999999997,0.28328749999999997,0.01626984126984127,-0.0
2,16.0,2.0,287.4527777777777,0.2874527777777777,0.02603174603174603,0.003253968253968254
3,31.0,3.0,291.62083333333334,0.29162083333333333,0.05043650793650794,0.004880952380952381
4,40.0,2.0,295.63055555555553,0.2956305555555555,0.06507936507936508,0.003253968253968254
5,51.0,2.0,299.7986111111111,0.2997986111111111,0.08297619047619048,0.003253968253968254
6,61.0,2.0,303.96527777777777,0.30396527777777776,0.09924603174603175,0.003253968253968254
7,72.0,2.0,308.13055555555553,0.3081305555555555,0.11714285714285715,0.003253968253968254
8,83.0,1.0,312.2986111111111,0.31229861111111107,0.13503968253968254,0.001626984126984127
9,93.0,1.0,316.46527777777777,0.3164652777777778,0.1513095238095238,0.001626984126984127
10,104.0,1.0,320.63055555555553,0.32063055555555553,0.16920634920634922,0.001626984126984127
11,115.0,-0.0,324.7986111111111,0.3247986111111111,0.1871031746031746,-0.0
12,125.0,-1.0,328.84166666666664,0.32884166666666664,0.20337301587301587,-0.001626984126984127
13,136.0,-2.0,333.0097222222222,0.3330097222222222,0.22126984126984128,-0.003253968253968254
14,146.0,-3.0,337.1763888888889,0.3371763888888889,0.23753968253968255,-0.004880952380952381
15,157.0,-5.0,341.3416666666667,0.3413416666666667,0.25543650793650796,-0.008134920634920636
16,168.0,-6.0,345.50972222222225,0.34550972222222226,0.2733333333333333,-0.009761904761904762
17,178.0,-8.0,349.6763888888889,0.34967638888888886,0.2896031746031746,-0.013015873015873015
18,189.0,-9.0,353.8416666666667,0.3538416666666667,0.3075,-0.014642857142857143
19,199.0,-10.0,358.00972222222225,0.35800972222222227,0.32376984126984126,-0.01626984126984127
20,210.0,-12.0,362.26666666666665,0.3622666666666666,0.3416666666666667,-0.019523809523809523
21,221.0,-15.0,366.4347222222222,0.36643472222222223,0.3595634920634921,-0.024404761904761905
22,231.0,-17.0,370.6013888888889,0.3706013888888889,0.37583333333333335,-0.02765873015873016
23,241.0,-17.0,374.76666666666665,0.37476666666666664,0.3921031746031746,-0.02765873015873016
24,252.0,-20.0,378.9347222222222,0.3789347222222222,0.41000000000000003,-0.03253968253968254
25,262.0,-22.0,383.1013888888889,0.3831013888888889,0.4262698412698413,-0.035793650793650794
26,272.0,-24.0,387.26666666666665,0.38726666666666665,0.44253968253968257,-0.039047619047619046
27,283.0,-26.0,391.4347222222222,0.3914347222222222,0.4604365079365079,-0.042301587301587305
28,293.0,-28.0,395.4736111111111,0.3954736111111111,0.4767063492063492,-0.04555555555555556
29,303.0,-31.0,399.6416666666667,0.39964166666666673,0.49297619047619046,-0.05043650793650794
30,313.0,-33.0,403.80694444444447,0.4038069444444445,0.5092460317460318,-0.05369047619047619
