,screenx,screeny,ms,seconds,xpos,ypos
0,-0.0,-0.0,154.04583333333335,0.15404583333333335,-0.0,-0.0
1,4.0,5.0,158.21250000000003,0.15821250000000003,0.006507936507936508,0.008134920634920636
2,10.0,8.0,162.3805555555556,0.16238055555555558,0.01626984126984127,0.013015873015873015
3,20.0,15.0,166.54583333333335,0.16654583333333334,0.03253968253968254,0.024404761904761905
4,27.0,18.0,170.7125,0.17071250000000002,0.04392857142857143,0.029285714285714286
5,34.0,23.0,174.88055555555556,0.17488055555555557,0.05531746031746032,0.037420634920634924
6,43.0,28.0,179.0263888888889,0.17902638888888892,0.06996031746031746,0.04555555555555556
7,51.0,32.0,183.1916666666667,0.1831916666666667,0.08297619047619048,0.05206349206349206
8,59.0,36.0,187.35972222222225,0.18735972222222225,0.09599206349206349,0.05857142857142857
9,67.0,40.0,191.52638888888893,0.19152638888888893,0.10900793650793651,0.06507936507936508
10,73.0,44.0,195.69166666666666,0.19569166666666665,0.11876984126984128,0.07158730158730159
11,81.0,48.0,199.85972222222225,0.19985972222222226,0.13178571428571428,0.07809523809523809
12,89.0,51.0,204.0263888888889,0.2040263888888889,0.1448015873015873,0.08297619047619048
13,97.0,55.0,208.1916666666667,0.2081916666666667,0.15781746031746033,0.08948412698412699
14,105.0,58.0,212.34166666666667,0.21234166666666668,0.17083333333333334,0.09436507936507936
15,113.0,62.0,216.50694444444446,0.21650694444444446,0.18384920634920635,0.10087301587301588
16,121.0,66.0,220.67361111111114,0.22067361111111114,0.19686507936507935,0.10738095238095238
17,130.0,69.0,224.8416666666667,0.2248416666666667,0.2115079365079365,0.11226190476190476
18,137.0,72.0,229.00694444444446,0.22900694444444444,0.2228968253968254,0.11714285714285715
19,146.0,75.0,233.17361111111114,0.23317361111111115,0.23753968253968255,0.12202380952380952
20,153.0,78.0,237.3416666666667,0.2373416666666667,0.24892857142857144,0.1269047619047619
21,161.0,81.0,241.50694444444449,0.24150694444444448,0.2619444444444444,0.13178571428571428
22,168.0,84.0,245.6513888888889,0.2456513888888889,0.2733333333333333,0.13666666666666666
23,176.0,86.0,249.8166666666667,0.2498166666666667,0.28634920634920635,0.13992063492063492
24,185.0,88.0,253.98472222222225,0.25398472222222224,0.3009920634920635,0.14317460317460318
25,193.0,91.0,258.15138888888885,0.25815138888888883,0.3140079365079365,0.14805555555555555
26,200.0,95.0,262.31666666666666,0.26231666666666664,0.3253968253968254,0.15456349206349207
27,208.0,96.0,266.4847222222222,0.2664847222222222,0.33841269841269844,0.15619047619047619
28,216.0,99.0,270.65138888888885,0.27065138888888884,0.3514285714285714,0.16107142857142856
29,224.0,101.0,274.81666666666666,0.27481666666666665,0.36444444444444446,0.16432539682539682
30,232.0,101.0,278.9625,0.2789625,0.37746031746031744,0.16432539682539682
31,240.0,104.0,283.1277777777778,0.2831277777777778,0.3904761904761905,0.16920634920634922
32,248.0,105.0,287.2944444444444,0.2872944444444444,0.4034920634920635,0.17083333333333334
33,256.0,107.0,291.4625,0.29146249999999996,0.4165079365079365,0.1740873015873016
34,264.0,108.0,295.6277777777778,0.29562777777777777,0.42952380952380953,0.1757142857142857
35,271.0,109.0,299.7944444444444,0.2997944444444444,0.4409126984126984,0.17734126984126986
36,279.0,110.0,303.9625,0.30396249999999997,0.45392857142857146,0.17896825396825397
37,287.0,112.0,308.1277777777778,0.3081277777777778,0.46694444444444444,0.18222222222222223
38,295.0,113.0,312.2944444444445,0.3122944444444445,0.4799603174603175,0.18384920634920635
39,302.0,114.0,316.4625,0.3164625,0.49134920634920637,0.1854761904761905
40,310.0,115.0,320.62777777777774,0.32062777777777773,0.5043650793650793,0.1871031746031746
41,318.0,115.0,324.7944444444445,0.3247944444444445,0.5173809523809524,0.1871031746031746
42,326.0,116.0,328.96250000000003,0.32896250000000005,0.5303968253968254,0.18873015873015872
43,334.0,117.0,333.1277777777778,0.3331277777777778,0.5434126984126985,0.19035714285714286
44,342.0,117.0,337.2944444444444,0.3372944444444444,0.5564285714285714,0.19035714285714286
45,349.0,117.0,341.46250000000003,0.34146250000000006,0.5678174603174603,0.19035714285714286
46,357.0,118.0,345.58750000000003,0.34558750000000005,0.5808333333333333,0.19198412698412698
47,364.0,118.0,349.7527777777778,0.3497527777777778,0.5922222222222222,0.19198412698412698
48,372.0,118.0,353.9194444444444,0.3539194444444444,0.6052380952380952,0.19198412698412698
49,379.0,118.0,358.08750000000003,0.35808750000000006,0.6166269841269841,0.19198412698412698
50,387.0,118.0,362.2527777777778,0.3622527777777778,0.6296428571428572,0.19198412698412698
51,395.0,118.0,366.4194444444444,0.3664194444444444,0.6426587301587302,0.19198412698412698
52,403.0,118.0,370.5875,0.37058749999999996,0.6556746031746031,0.19198412698412698
53,410.0,117.0,374.7527777777778,0.37475277777777777,0.667063492063492,0.19035714285714286
54,418.0,117.0,378.9041666666667,0.3789041666666667,0.6800793650793651,0.19035714285714286
55,425.0,117.0,383.0708333333333,0.3830708333333333,0.691468253968254,0.19035714285714286
56,432.0,116.0,387.23749999999995,0.38723749999999996,0.7028571428571428,0.18873015873015872
57,440.0,115.0,391.4041666666667,0.3914041666666667,0.7158730158730159,0.1871031746031746
58,448.0,114.0,395.5708333333333,0.3955708333333333,0.7288888888888889,0.1854761904761905
59,455.0,113.0,399.7375,0.3997375,0.7402777777777778,0.18384920634920635
60,463.0,112.0,403.90416666666664,0.4039041666666666,0.7532936507936508,0.18222222222222223
61,470.0,111.0,408.0708333333333,0.4080708333333333,0.7646825396825397,0.1805952380952381
62,478.0,109.0,412.2125,0.4122125,0.7776984126984127,0.17734126984126986
63,485.0,108.0,416.38055555555553,0.41638055555555553,0.7890873015873016,0.1757142857142857
64,492.0,107.0,420.5472222222222,0.42054722222222224,0.8004761904761905,0.1740873015873016
65,500.0,105.0,424.71250000000003,0.42471250000000005,0.8134920634920635,0.17083333333333334
66,507.0,104.0,428.8805555555556,0.4288805555555556,0.8248809523809524,0.16920634920634922
67,514.0,102.0,433.0472222222222,0.4330472222222222,0.8362698412698413,0.16595238095238096
68,521.0,101.0,437.21250000000003,0.43721250000000006,0.8476587301587302,0.16432539682539682
69,529.0,98.0,441.3805555555556,0.4413805555555556,0.8606746031746032,0.15944444444444444
70,536.0,97.0,445.52777777777777,0.44552777777777774,0.8720634920634921,0.15781746031746033
71,544.0,94.0,449.69444444444446,0.44969444444444445,0.8850793650793651,0.15293650793650793
72,551.0,93.0,453.86111111111114,0.45386111111111116,0.896468253968254,0.1513095238095238
73,558.0,92.0,458.02777777777777,0.45802777777777776,0.9078571428571429,0.1496825396825397
74,565.0,87.0,462.19444444444446,0.46219444444444446,0.9192460317460318,0.14154761904761906
75,572.0,85.0,466.36111111111114,0.4663611111111111,0.9306349206349206,0.1382936507936508
76,579.0,83.0,470.52777777777777,0.47052777777777777,0.9420238095238095,0.13503968253968254
77,586.0,80.0,474.69444444444446,0.4746944444444445,0.9534126984126984,0.13015873015873017
78,593.0,75.0,478.8375,0.47883749999999997,0.9648015873015873,0.12202380952380952
79,601.0,74.0,483.00555555555553,0.4830055555555555,0.9778174603174603,0.1203968253968254
80,607.0,72.0,487.1722222222223,0.4871722222222223,0.9875793650793651,0.11714285714285715
81,614.0,69.0,491.3375,0.4913375,0.998968253968254,0.11226190476190476
82,621.0,67.0,495.50555555555553,0.49550555555555553,1.010357142857143,0.10900793650793651
83,628.0,64.0,499.6722222222223,0.4996722222222223,1.0217460317460318,0.10412698412698412
84,635.0,60.0,503.83750000000003,0.5038375,1.0331349206349207,0.09761904761904762
85,642.0,57.0,508.00555555555553,0.5080055555555555,1.0445238095238096,0.09273809523809524
86,649.0,54.0,512.1875,0.5121875,1.0559126984126985,0.08785714285714286
87,656.0,50.0,516.3555555555556,0.5163555555555556,1.0673015873015874,0.08134920634920635
88,663.0,47.0,520.5208333333334,0.5205208333333333,1.0786904761904763,0.07646825396825396
89,669.0,43.0,524.6875000000001,0.5246875000000001,1.088452380952381,0.06996031746031746
90,676.0,40.0,528.8555555555556,0.5288555555555556,1.0998412698412698,0.06507936507936508
91,683.0,36.0,533.0208333333334,0.5330208333333334,1.1112301587301587,0.05857142857142857
92,689.0,33.0,537.1875000000001,0.5371875000000002,1.1209920634920636,0.05369047619047619
93,696.0,29.0,541.3555555555556,0.5413555555555556,1.1323809523809525,0.04718253968253968
94,703.0,25.0,545.5208333333334,0.5455208333333333,1.1437698412698414,0.040674603174603176
95,709.0,21.0,549.6875,0.5496875,1.153531746031746,0.034166666666666665
96,716.0,17.0,553.8555555555556,0.5538555555555557,1.164920634920635,0.02765873015873016
97,723.0,12.0,558.0208333333335,0.5580208333333335,1.1763095238095238,0.019523809523809523
98,730.0,8.0,562.1875000000001,0.5621875000000001,1.1876984126984127,0.013015873015873015
99,736.0,4.0,566.3555555555556,0.5663555555555556,1.1974603174603176,0.006507936507936508
100,742.0,1.0,570.5208333333334,0.5705208333333334,1.2072222222222222,0.001626984126984127
101,749.0,-4.0,574.6875,0.5746875,1.218611111111111,-0.006507936507936508
102,755.0,-9.0,578.8555555555556,0.5788555555555556,1.228373015873016,-0.014642857142857143
103,762.0,-13.0,583.0208333333334,0.5830208333333333,1.2397619047619048,-0.021150793650793653
104,768.0,-18.0,587.1875000000001,0.5871875000000001,1.2495238095238095,-0.029285714285714286
105,774.0,-22.0,591.3555555555556,0.5913555555555556,1.2592857142857143,-0.035793650793650794
106,780.0,-27.0,595.5208333333334,0.5955208333333334,1.269047619047619,-0.04392857142857143
107,787.0,-32.0,599.6875000000001,0.5996875000000002,1.2804365079365079,-0.05206349206349206
108,793.0,-36.0,603.8555555555556,0.6038555555555556,1.2901984126984127,-0.05857142857142857
109,814.0,-51.0,616.251388888889,0.616251388888889,1.3243650793650794,-0.08297619047619048
110,820.0,-55.0,620.4166666666667,0.6204166666666667,1.334126984126984,-0.08948412698412699
111,826.0,-60.0,624.5847222222224,0.6245847222222224,1.343888888888889,-0.09761904761904762
112,832.0,-65.0,628.751388888889,0.6287513888888889,1.3536507936507938,-0.10575396825396825
113,838.0,-70.0,632.9166666666667,0.6329166666666668,1.3634126984126984,-0.11388888888888889
